lncRNA	disease	label
CCAT1-L	DOID:8649	0
CCAT1-L	DOID:557	0
CCAT1-L	DOID:3355	0
CCAT1-L	DOID:9074	0
CCAT1-L	DOID:8398	0
CCAT1-L	DOID:11934	0
CCAT1-L	DOID:707	0
CCAT1-L	DOID:12449	0
CCAT1-L	DOID:4074	0
CCAT1-L	DOID:0050589	0
CCAT1-L	DOID:13641	0
CCAT1-L	DOID:0080001	0
CCAT1-L	DOID:5419	0
CCAT1-L	DOID:3962	0
CCAT1-L	DOID:1993	0
CCAT1-L	DOID:14250	0
CCAT1-L	DOID:14004	0
CCAT1-L	DOID:863	0
CCAT1-L	DOID:11983	0
CCAT1-L	DOID:11337	0
CCAT1-L	DOID:1612	0
CCAT1-L	DOID:7148	0
CCAT1-L	DOID:1996	0
CCAT1-L	DOID:635	0
CCAT1-L	DOID:2129	0
CCAT1-L	DOID:10591	0
CCAT1-L	DOID:289	0
CCAT1-L	DOID:3119	0
CCAT1-L	DOID:684	0
CCAT1-L	DOID:13378	0
CCAT1-L	DOID:1686	0
CCAT1-L	DOID:62	0
CCAT1-L	DOID:9538	0
CCAT1-L	DOID:114	0
CCAT1-L	DOID:9970	0
CCAT1-L	DOID:0060108	0
CCAT1-L	DOID:8466	0
CCAT1-L	DOID:4971	0
CCAT1-L	DOID:2378	0
CCAT1-L	DOID:769	0
CCAT1-L	DOID:1909	0
CCAT1-L	DOID:2870	0
CCAT1-L	DOID:1883	0
CCAT1-L	DOID:3369	0
CCAT1-L	DOID:2316	0
CCAT1-L	DOID:417	0
CCAT1-L	DOID:1749	0
CCAT1-L	DOID:9744	0
CCAT1-L	DOID:409	0
CCAT1-L	DOID:13922	0
CCAT1-L	DOID:8947	0
CCAT1-L	DOID:3973	0
CCAT1-L	DOID:0050902	0
CCAT1-L	DOID:4362	0
CCAT1-L	DOID:4085	0
CCAT1-L	DOID:5082	0
CCAT1-L	DOID:11612	0
CCAT1-L	DOID:10763	0
CCAT1-L	DOID:418	0
CCAT1-L	DOID:3371	0
CCAT1-L	DOID:0080522	0
CCAT1-L	DOID:4947	0
CCAT1-L	DOID:0060250	0
CCAT1-L	DOID:3070	0
CCAT1-L	DOID:5517	0
CCAT1-L	DOID:3247	0
CCAT1-L	DOID:13001	0
CCAT1-L	DOID:255	0
CCAT1-L	DOID:7575	0
CCAT1-L	DOID:8577	0
CCAT1-L	DOID:3328	0
CCAT1-L	DOID:3594	0
CCAT1-L	DOID:0080638	0
CCAT1-L	DOID:3717	1
CCAT1-L	DOID:6432	0
CCAT1-L	DOID:4450	0
CCAT1-L	DOID:5844	0
CCAT1-L	DOID:1936	0
CCAT1-L	DOID:1596	0
CCAT1-L	DOID:4195	0
CCAT1-L	DOID:1932	0
CCAT1-L	DOID:1240	0
CCAT1-L	DOID:3565	0
CCAT1-L	DOID:0002116	0
CCAT1-L	DOID:9719	0
CCAT1-L	DOID:1107	0
CCAT1-L	DOID:824	0
CCAT1-L	DOID:234	0
CCAT1-L	DOID:9408	0
CCAT1-L	DOID:11476	0
CCAT1-L	DOID:7693	0
CCAT1-L	DOID:2998	0
CCAT1-L	DOID:332	0
CCAT1-L	DOID:1380	0
CCAT1-L	DOID:3302	0
CCAT1-L	DOID:5041	0
CCAT1-L	DOID:1319	0
CCAT1-L	DOID:3347	0
CCAT1-L	DOID:4905	0
CCAT1-L	DOID:12894	0
CCAT1-L	DOID:6039	0
CCAT1-L	DOID:0060058	0
CCAT1-L	DOID:3907	0
CCAT1-L	DOID:3068	0
CCAT1-L	DOID:2101	0
CCAT1-L	DOID:10941	0
CCAT1-L	DOID:9255	0
CCAT1-L	DOID:11830	0
CCAT1-L	DOID:8692	0
CCAT1-L	DOID:9351	0
CCAT1-L	DOID:1793	0
CCAT1-L	DOID:5223	0
CCAT1-L	DOID:331	0
CCAT1-L	DOID:12205	0
CCAT1-L	DOID:768	0
CCAT1-L	DOID:8893	0
CCAT1-L	DOID:3571	0
CCAT1-L	DOID:0060060	0
CCAT1-L	DOID:4914	0
CCAT1-L	DOID:90	0
CCAT1-L	DOID:11054	0
CCAT1-L	DOID:305	0
CCAT1-L	DOID:3121	0
CCAT1-L	DOID:2671	0
CCAT1-L	DOID:8584	0
CCAT1-L	DOID:5520	0
CCAT1-L	DOID:6713	0
CCAT1-L	DOID:1289	0
CCAT1-L	DOID:263	0
CCAT1-L	DOID:8533	0
CCAT1-L	DOID:4866	0
CCAT1-L	DOID:9253	0
CCAT1-L	DOID:1324	0
CCAT1-L	DOID:5603	0
CCAT1-L	DOID:2994	0
CCAT1-L	DOID:8997	0
CCAT1-L	DOID:1781	0
CCAT1-L	DOID:585	0
CCAT1-L	DOID:3083	0
CCAT1-L	DOID:3908	0
CCAT1-L	DOID:10283	0
CCAT1-L	DOID:784	0
CCAT1-L	DOID:9256	1
CCAT1-L	DOID:1115	0
CCAT1-L	DOID:10534	0
CCAT1-L	DOID:12930	0
CCAT1-L	DOID:2394	0
CCAT1-L	DOID:1540	0
CCAT1-L	DOID:1785	0
CCAT1-L	DOID:687	0
CCAT1-L	DOID:9352	0
CCAT1-L	DOID:3744	0
CCAT1-L	DOID:2841	0
CCAT1-L	DOID:0080208	0
H19	DOID:8649	0
H19	DOID:557	0
H19	DOID:3355	0
H19	DOID:9074	0
H19	DOID:8398	1
H19	DOID:11934	0
H19	DOID:707	0
H19	DOID:12449	0
H19	DOID:4074	0
H19	DOID:0050589	0
H19	DOID:13641	0
H19	DOID:0080001	0
H19	DOID:5419	0
H19	DOID:3962	1
H19	DOID:1993	1
H19	DOID:14250	0
H19	DOID:14004	0
H19	DOID:863	0
H19	DOID:11983	1
H19	DOID:11337	0
H19	DOID:1612	1
H19	DOID:7148	1
H19	DOID:1996	0
H19	DOID:635	0
H19	DOID:2129	0
H19	DOID:10591	1
H19	DOID:289	1
H19	DOID:3119	1
H19	DOID:684	1
H19	DOID:13378	0
H19	DOID:1686	0
H19	DOID:62	1
H19	DOID:9538	1
H19	DOID:114	1
H19	DOID:9970	1
H19	DOID:0060108	0
H19	DOID:8466	0
H19	DOID:4971	0
H19	DOID:2378	0
H19	DOID:769	1
H19	DOID:1909	1
H19	DOID:2870	0
H19	DOID:1883	0
H19	DOID:3369	0
H19	DOID:2316	0
H19	DOID:417	0
H19	DOID:1749	1
H19	DOID:9744	0
