disease	miRNA	label
DOID:2129	hsa-miR-139-5p	0
DOID:2129	hsa-miR-384	0
DOID:2129	hsa-miR-494-3p	0
DOID:2129	hsa-miR-335-5p	0
DOID:2129	hsa-miR-504-3p	0
DOID:2129	hsa-miR-215-5p	0
DOID:2129	hsa-miR-106a-5p	0
DOID:2129	hsa-miR-491-5p	0
DOID:2129	hsa-miR-340-5p	0
DOID:2129	hsa-miR-346	0
DOID:2129	hsa-miR-378a-3p	0
DOID:2129	hsa-miR-192-5p	0
DOID:2129	hsa-miR-30e-5p	0
DOID:2129	hsa-miR-10a-5p	0
DOID:2129	hsa-miR-132-3p	0
DOID:2129	hsa-miR-23b-3p	0
DOID:2129	hsa-miR-544a	0
DOID:2129	hsa-miR-361-5p	0
DOID:2129	hsa-miR-204-5p	0
DOID:2129	hsa-miR-154-3p	0
DOID:2129	hsa-miR-217-5p	0
DOID:2129	hsa-miR-28-5p	0
DOID:2129	hsa-miR-299-5p	0
DOID:2129	hsa-miR-4295	0
DOID:2129	hsa-miR-203a-3p	0
DOID:2129	hsa-miR-874-3p	0
DOID:2129	hsa-miR-222-3p	0
DOID:2129	hsa-miR-107	0
DOID:2129	hsa-miR-29b-1-5p	0
DOID:2129	hsa-miR-202-5p	0
DOID:2129	hsa-miR-155-5p	0
DOID:2129	hsa-miR-520c-3p	0
DOID:2129	hsa-miR-4782-3p	0
DOID:2129	hsa-miR-196a-5p	0
DOID:2129	hsa-miR-106b-5p	0
DOID:2129	hsa-miR-326	0
DOID:2129	hsa-miR-761	0
DOID:2129	hsa-miR-181d-5p	0
DOID:2129	hsa-miR-382-5p	0
DOID:2129	hsa-miR-9-5p	0
DOID:2129	hsa-miR-212-3p	0
DOID:2129	hsa-miR-148a-3p	0
DOID:2129	hsa-miR-181b-2-3p	0
DOID:2129	hsa-miR-9-3p	0
DOID:2129	hsa-miR-4644	0
DOID:2129	hsa-miR-374a-3p	0
DOID:2129	hsa-miR-4262	0
DOID:2129	hsa-let-7b-5p	0
DOID:2129	hsa-miR-7-1-3p	0
DOID:2129	hsa-miR-299-3p	0
DOID:2129	hsa-miR-133a-3p	0
DOID:2129	hsa-miR-1271-5p	0
DOID:2129	hsa-miR-339-5p	0
DOID:2129	hsa-miR-212-5p	0
DOID:2129	hsa-miR-4306	0
DOID:2129	hsa-miR-185-5p	0
DOID:2129	hsa-miR-208a-3p	0
DOID:2129	hsa-miR-181a-5p	0
DOID:2129	hsa-miR-30c-1-3p	0
DOID:2129	hsa-miR-125b-1-3p	0
DOID:2129	hsa-miR-195-5p	0
DOID:2129	hsa-miR-3619-5p	0
DOID:2129	hsa-miR-520e-3p	0
DOID:2129	hsa-miR-16-2-3p	0
DOID:2129	hsa-miR-136-5p	0
DOID:2129	hsa-miR-329-3p	0
DOID:2129	hsa-miR-141-3p	0
DOID:2129	hsa-miR-210-3p	0
DOID:2129	hsa-miR-4770	0
DOID:2129	hsa-miR-19b-2-5p	0
DOID:2129	hsa-miR-503-5p	0
DOID:2129	hsa-miR-126-5p	0
DOID:2129	hsa-miR-23c	0
DOID:2129	hsa-miR-376a-3p	0
DOID:2129	hsa-miR-520a-5p	0
DOID:2129	hsa-miR-21-5p	0
DOID:2129	hsa-miR-485-5p	0
DOID:2129	hsa-miR-519d-3p	0
DOID:2129	hsa-miR-33a-5p	0
DOID:2129	hsa-miR-193b-3p	0
DOID:2129	hsa-let-7g-5p	0
DOID:2129	hsa-miR-183-5p	0
DOID:2129	hsa-miR-4500	0
DOID:2129	hsa-let-7a-2-3p	0
DOID:2129	hsa-miR-374b-5p	0
DOID:2129	hsa-miR-708-5p	0
DOID:2129	hsa-miR-138-2-3p	0
DOID:2129	hsa-miR-125a-5p	0
DOID:2129	hsa-miR-103a-3p	0
DOID:2129	hsa-miR-613	0
DOID:2129	hsa-miR-378h	0
DOID:2129	hsa-miR-214-3p	0
DOID:2129	hsa-miR-206	0
DOID:2129	hsa-miR-135a-5p	0
DOID:2129	hsa-miR-98-5p	0
DOID:2129	hsa-miR-140-3p	0
DOID:2129	hsa-miR-145-5p	0
DOID:2129	hsa-miR-367-3p	0
DOID:2129	hsa-miR-216b-5p	0
DOID:2129	hsa-miR-365a-3p	0
DOID:2129	hsa-miR-3666	0
DOID:2129	hsa-miR-330-3p	0
DOID:2129	hsa-miR-411-3p	0
DOID:2129	hsa-miR-199a-5p	0
DOID:2129	hsa-miR-29a-3p	0
DOID:2129	hsa-miR-92a-1-5p	0
DOID:2129	hsa-miR-129-2-3p	0
DOID:2129	hsa-miR-421	0
DOID:2129	hsa-miR-873-5p	0
DOID:2129	hsa-miR-448	0
DOID:2129	hsa-miR-16-1-3p	0
DOID:2129	hsa-miR-17-5p	1
DOID:2129	hsa-miR-1-3p	0
DOID:2129	hsa-miR-429	0
DOID:2129	hsa-miR-449a	0
DOID:2129	hsa-miR-193a-5p	0
DOID:2129	hsa-miR-150-5p	0
DOID:2129	hsa-miR-506-5p	0
DOID:2129	hsa-miR-615-3p	0
DOID:2129	hsa-miR-101-2-5p	0
DOID:2129	hsa-miR-758-3p	0
DOID:2129	hsa-miR-101-3p	0
DOID:2129	hsa-miR-200a-3p	0
DOID:2129	hsa-miR-30b-5p	0
DOID:2129	hsa-miR-199a-3p	0
DOID:2129	hsa-miR-32-5p	0
DOID:2129	hsa-miR-27a-3p	0
DOID:2129	hsa-miR-410-3p	0
DOID:2129	hsa-miR-599	0
DOID:2129	hsa-miR-296-5p	0
DOID:2129	hsa-miR-1297	0
DOID:2129	hsa-miR-184	0
DOID:2129	hsa-miR-539-3p	0
DOID:2129	hsa-miR-424-5p	0
DOID:2129	hsa-miR-22-3p	0
DOID:2129	hsa-miR-328-3p	0
DOID:2129	hsa-let-7f-1-3p	0
DOID:2129	hsa-miR-152-3p	0
DOID:2129	hsa-miR-454-3p	0
DOID:2129	hsa-miR-10b-5p	0
DOID:2129	hsa-miR-216a-3p	0
DOID:2129	hsa-miR-29c-3p	0
DOID:2129	hsa-miR-143-3p	0
DOID:2129	hsa-miR-499a-5p	0
DOID:2129	hsa-miR-451a	0
DOID:2129	hsa-miR-30c-2-3p	0
DOID:2129	hsa-miR-142-5p	0
DOID:2129	hsa-miR-218-5p	0
DOID:2129	hsa-miR-485-3p	0
DOID:2129	hsa-miR-302a-3p	0
DOID:2129	hsa-miR-132-5p	0
DOID:2129	hsa-miR-144-5p	0
DOID:2129	hsa-miR-320d	0
DOID:2129	hsa-miR-182-5p	0
DOID:2129	hsa-miR-455-5p	0
DOID:2129	hsa-miR-505-3p	0
DOID:2129	hsa-miR-135a-2-3p	0
DOID:2129	hsa-miR-4458	0
