lnc_id,mi_id,label
96,1,1
99,1,1
135,1,1
415,1,1
509,1,1
533,1,1
594,1,1
8,2,1
109,2,1
135,2,1
306,2,1
394,2,1
509,2,1
37,3,1
99,3,1
109,3,1
139,3,1
150,3,1
394,3,1
509,3,1
533,3,1
37,4,1
99,4,1
109,4,1
481,4,1
509,4,1
523,4,1
63,6,1
74,6,1
99,6,1
109,6,1
2,7,1
8,7,1
37,7,1
78,7,1
99,7,1
109,7,1
128,7,1
215,7,1
394,7,1
418,7,1
502,7,1
509,7,1
533,7,1
602,7,1
2,8,1
99,8,1
109,8,1
293,8,1
306,8,1
394,8,1
416,8,1
509,8,1
37,9,1
99,9,1
200,9,1
509,9,1
533,9,1
2,10,1
63,10,1
109,10,1
394,10,1
436,10,1
8,11,1
37,11,1
109,11,1
139,11,1
301,11,1
394,11,1
533,11,1
63,12,1
74,12,1
99,12,1
109,12,1
8,13,1
37,13,1
63,13,1
99,13,1
394,13,1
509,13,1
522,13,1
533,13,1
577,13,1
602,13,1
99,14,1
272,14,1
509,14,1
533,14,1
549,14,1
78,15,1
99,15,1
109,15,1
154,15,1
509,15,1
530,15,1
37,16,1
78,16,1
99,16,1
243,16,1
306,16,1
394,16,1
466,16,1
499,16,1
509,16,1
523,16,1
530,16,1
301,18,1
509,18,1
523,18,1
533,18,1
8,19,1
37,19,1
99,19,1
109,19,1
200,19,1
306,19,1
394,19,1
407,19,1
466,19,1
488,19,1
509,19,1
8,20,1
99,20,1
109,20,1
215,20,1
222,20,1
257,20,1
394,20,1
509,20,1
533,20,1
37,22,1
74,22,1
99,22,1
389,22,1
394,22,1
395,22,1
435,22,1
436,22,1
502,22,1
509,22,1
533,22,1
99,23,1
502,23,1
509,23,1
577,23,1
2,24,1
99,24,1
137,24,1
222,24,1
383,24,1
462,24,1
502,24,1
509,24,1
533,24,1
537,24,1
109,26,1
509,26,1
37,27,1
152,27,1
272,27,1
389,27,1
509,27,1
523,27,1
2,28,1
96,28,1
99,28,1
109,28,1
209,28,1
294,28,1
422,28,1
502,28,1
509,28,1
8,30,1
112,30,1
306,30,1
435,30,1
7,31,1
8,31,1
37,31,1
99,31,1
109,31,1
394,31,1
537,31,1
8,32,1
37,32,1
78,32,1
99,32,1
109,32,1
128,32,1
215,32,1
243,32,1
301,32,1
324,32,1
502,32,1
509,32,1
533,32,1
537,32,1
74,33,1
99,33,1
109,33,1
139,33,1
222,33,1
392,33,1
499,33,1
2,34,1
78,34,1
99,34,1
109,34,1
301,34,1
392,34,1
488,34,1
502,34,1
509,34,1
607,34,1
2,35,1
8,35,1
37,35,1
78,35,1
99,35,1
109,35,1
128,35,1
215,35,1
394,35,1
418,35,1
502,35,1
509,35,1
533,35,1
602,35,1
55,36,1
99,36,1
109,36,1
135,36,1
150,36,1
200,36,1
306,36,1
407,36,1
509,36,1
78,37,1
99,37,1
109,37,1
392,37,1
502,37,1
509,37,1
537,37,1
594,37,1
602,37,1
620,37,1
8,38,1
37,38,1
99,38,1
109,38,1
137,38,1
139,38,1
150,38,1
243,38,1
272,38,1
306,38,1
394,38,1
509,38,1
530,38,1
533,38,1
549,38,1
577,38,1
8,39,1
37,39,1
502,39,1
509,39,1
533,39,1
577,39,1
99,40,1
416,40,1
509,40,1
533,40,1
549,40,1
603,40,1
78,41,1
99,41,1
109,41,1
154,41,1
509,41,1
530,41,1
2,42,1
37,42,1
99,42,1
109,42,1
137,42,1
222,42,1
383,42,1
462,42,1
509,42,1
562,42,1
620,42,1
8,44,1
39,44,1
99,44,1
109,44,1
293,44,1
301,44,1
394,44,1
509,44,1
37,45,1
99,45,1
109,45,1
135,45,1
152,45,1
186,45,1
270,45,1
272,45,1
394,45,1
435,45,1
481,45,1
509,45,1
533,45,1
99,46,1
109,46,1
301,46,1
416,46,1
509,46,1
530,46,1
533,46,1
619,46,1
627,46,1
8,47,1
37,47,1
99,47,1
109,47,1
137,47,1
150,47,1
243,47,1
306,47,1
394,47,1
509,47,1
530,47,1
533,47,1
549,47,1
577,47,1
54,48,1
78,48,1
99,48,1
109,48,1
185,48,1
306,48,1
395,48,1
416,48,1
468,48,1
488,48,1
509,48,1
251,50,1
509,50,1
604,50,1
627,50,1
502,51,1
509,51,1
99,52,1
109,52,1
383,52,1
394,52,1
2,53,1
109,53,1
306,53,1
509,53,1
533,53,1
2,54,1
37,54,1
78,54,1
109,54,1
124,54,1
135,54,1
272,54,1
394,54,1
435,54,1
468,54,1
502,54,1
509,54,1
529,54,1
627,54,1
37,55,1
99,55,1
135,55,1
152,55,1
186,55,1
270,55,1
272,55,1
394,55,1
435,55,1
509,55,1
533,55,1
37,56,1
99,56,1
109,56,1
135,56,1
152,56,1
186,56,1
270,56,1
272,56,1
394,56,1
435,56,1
509,56,1
533,56,1
8,58,1
37,58,1
99,58,1
109,58,1
137,58,1
139,58,1
150,58,1
243,58,1
272,58,1
306,58,1
394,58,1
509,58,1
530,58,1
533,58,1
549,58,1
577,58,1
78,61,1
92,61,1
99,61,1
109,61,1
177,61,1
294,61,1
392,61,1
416,61,1
422,61,1
466,61,1
502,61,1
509,61,1
78,62,1
99,62,1
109,62,1
392,62,1
502,62,1
509,62,1
537,62,1
594,62,1
602,62,1
620,62,1
8,65,1
37,65,1
99,65,1
109,65,1
185,65,1
222,65,1
306,65,1
509,65,1
523,65,1
627,65,1
99,66,1
109,66,1
272,66,1
509,66,1
533,66,1
594,66,1
637,66,1
37,67,1
78,67,1
99,67,1
109,67,1
209,67,1
394,67,1
416,67,1
509,67,1
533,67,1
109,68,1
416,68,1
109,69,1
124,69,1
137,69,1
139,69,1
394,69,1
603,69,1
109,71,1
150,71,1
394,71,1
509,71,1
37,72,1
99,72,1
109,72,1
139,72,1
243,72,1
394,72,1
502,72,1
509,72,1
533,72,1
37,73,1
78,73,1
99,73,1
243,73,1
306,73,1
394,73,1
466,73,1
499,73,1
509,73,1
523,73,1
530,73,1
533,73,1
200,74,1
260,74,1
306,74,1
394,74,1
509,74,1
2,75,1
8,75,1
37,75,1
66,75,1
99,75,1
109,75,1
139,75,1
150,75,1
306,75,1
435,75,1
509,75,1
523,75,1
99,76,1
200,76,1
301,76,1
533,76,1
37,77,1
63,77,1
78,77,1
99,77,1
109,77,1
135,77,1
185,77,1
306,77,1
394,77,1
509,77,1
523,77,1
549,77,1
2,78,1
8,78,1
37,78,1
78,78,1
99,78,1
109,78,1
128,78,1
215,78,1
394,78,1
418,78,1
502,78,1
509,78,1
533,78,1
602,78,1
92,79,1
152,79,1
191,79,1
502,79,1
509,79,1
63,80,1
66,80,1
99,80,1
109,80,1
185,80,1
416,80,1
509,80,1
549,80,1
54,81,1
78,81,1
99,81,1
